Total: 5427, Complete: 5403, Success: 5032, Failed: 371, Pending: 24, Success Rate: 93%, Rate: 7 req/sec
Total: 5501, Complete: 5481, Success: 5102, Failed: 379, Pending: 20, Success Rate: 93%, Rate: 7 req/sec
Total: 5574, Complete: 5560, Success: 5173, Failed: 387, Pending: 14, Success Rate: 93%, Rate: 7 req/sec
Total: 5659, Complete: 5644, Success: 5254, Failed: 390, Pending: 15, Success Rate: 93%, Rate: 7 req/sec
Total: 5742, Complete: 5720, Success: 5329, Failed: 391, Pending: 22, Success Rate: 93%, Rate: 7 req/sec
Total: 5785, Complete: 5760, Success: 5368, Failed: 392, Pending: 25, Success Rate: 93%, Rate: 7 req/sec
Total: 5799, Complete: 5774, Success: 5378, Failed: 396, Pending: 25, Success Rate: 93%, Rate: 7 req/sec
Total: 5832, Complete: 5807, Success: 5405, Failed: 402, Pending: 25, Success Rate: 93%, Rate: 7 req/sec
Total: 5897, Complete: 5874, Success: 5466, Failed: 408, Pending: 23, Success Rate: 93%, Rate: 7 req/sec
Total: 5942, Complete: 5918, Success: 5506, Failed: 412, Pending: 24, Success Rate: 93%, Rate: 6 req/sec
Total: 5991, Complete: 5966, Success: 5547, Failed: 419, Pending: 25, Success Rate: 92%, Rate: 6 req/sec
Total: 6055, Complete: 6032, Success: 5607, Failed: 425, Pending: 23, Success Rate: 92%, Rate: 6 req/sec
Total: 6097, Complete: 6072, Success: 5643, Failed: 429, Pending: 25, Success Rate: 92%, Rate: 6 req/sec
Total: 6149, Complete: 6124, Success: 5693, Failed: 431, Pending: 25, Success Rate: 92%, Rate: 6 req/sec
Total: 6212, Complete: 6189, Success: 5758, Failed: 431, Pending: 23, Success Rate: 93%, Rate: 6 req/sec
Total: 6262, Complete: 6237, Success: 5804, Failed: 433, Pending: 25, Success Rate: 93%, Rate: 6 req/sec
Total: 6311, Complete: 6286, Success: 5851, Failed: 435, Pending: 25, Success Rate: 93%, Rate: 6 req/sec
Total: 6361, Complete: 6337, Success: 5898, Failed: 439, Pending: 24, Success Rate: 93%, Rate: 6 req/sec
Total: 6392, Complete: 6369, Success: 5925, Failed: 444, Pending: 23, Success Rate: 93%, Rate: 6 req/sec
Total: 6428, Complete: 6405, Success: 5957, Failed: 448, Pending: 23, Success Rate: 93%, Rate: 6 req/sec
Total: 6494, Complete: 6469, Success: 6010, Failed: 459, Pending: 25, Success Rate: 92%, Rate: 6 req/sec
